CPD_UNIT,STAR1,FIRST_NAME,LAST_NAME,MI,RANK
630,20328,PATRICIA,PEDROZA,A,PO AS DETECTIVE
610,20648,ROBERT,SMITH,M,PO AS DETECTIVE
610,20964,DAVID,MATUAL,F,PO AS DETECTIVE
630,20245,MICHAEL,MC DONOUGH,J,PO AS DETECTIVE
630,20006,LEONARD,GODUTO,P,PO AS DETECTIVE
167,1781,THOMAS,CLEARY,P,SERGEANT OF POLICE
004,8347,ROSILYNN,SUTTON,A,PO/FIELD TRNING OFF
014,1087,DENIS,VALE,,SERGEANT OF POLICE
121,1822,STEVEN,WILSON,J,SERGEANT OF POLICE
014,19739,EDWARD,GOMEZ,,POLICE OFFICER
012,9342,RUSSELL,MC KNIGHT,J,POLICE OFFICER
006,19609,RICKEY,ROBINSON,D,POLICE OFFICER
011,7100,HUMBERTO,MUNGUIA,,POLICE OFFICER
015,9558,CARL,GIVINGS,L,POLICE OFFICER
024,1214,ALLEN,FINLEY,V,SERGEANT OF POLICE
059,2866,MICHAEL,MICHALIK,E,PO/MARINE OFFICER
018,16466,LORI,STRANSKI,A,POLICE OFFICER
630,20611,ABNER,RODRIGUEZ,,PO AS DETECTIVE
620,11308,TIANNA,WOODS,D,POLICE OFFICER
541,18414,MICHAEL,GARZA,P,POLICE OFFICER
620,407,MICHAEL,KELLY,A,LIEUTENANT OF POLICE
002,225,RODNEY,HILL,G,LIEUTENANT OF POLICE
384,14872,MICHAEL,WILLIAMS,D,POLICE OFFICER
014,10722,ALBERTO,GONZALEZ,,POLICE OFFICER
384,16722,STEVEN,DIXON,C,POLICE OFFICER
020,18867,ROBERT,KUJAWSKI,L,POLICE OFFICER
009,6608,TRACY,KNIGHTLY,A,POLICE OFFICER
022,18657,DENISE,ROBINSON,D,POLICE OFFICER
014,1995,MARIAM,HAMAD,,SERGEANT OF POLICE
630,21081,MARC,LEAVITT,B,PO AS DETECTIVE
376,4240,MICHAEL,KASPER,A,POLICE OFFICER
020,18997,VASILIOS,PAPADOPOULOS,H,POLICE OFFICER
050,18510,ANDREW,NEAL,L,POLICE OFFICER
050,19922,THOMAS,CARROLL,L,POLICE OFFICER
022,7708,CHARLES,KAUFMANN,A,POLICE OFFICER
177,15242,TIMOTHY,KARN,D,PO ASGN EVID. TECHNI
143,4737,JOANNE,CARDINALE,M,POLICE OFFICER
153,812,JOHN,PORTER,J,SERGEANT OF POLICE
011,5211,JESUS,ESPINOSA,,POLICE OFFICER
050,18311,RITA,JANKOWSKI,H,POLICE OFFICER
211,19402,LAWRENCE,HOLLAND,A,POLICE OFFICER
024,8053,DALE,FORD,,POLICE OFFICER
001,11307,MICHAEL,BUTZEN,J,POLICE OFFICER
025,14917,JAMES,ROWE,K,POLICE OFFICER
001,5093,STAN,MATOSKA,,POLICE OFFICER
187,2371,EDMUND,ECHEVARRIA,A,SERGEANT OF POLICE
630,20111,JOHN,VALKNER,L,PO AS DETECTIVE
610,20329,JOHN,VILLA,M,PO AS DETECTIVE
610,20254,DAVID,BISHOP,J,PO AS DETECTIVE
610,20177,DAVID,CALLE,L,PO AS DETECTIVE
050,18201,WALTER,ADOLFIE JR,S,POLICE OFFICER
126,17463,TRACY,JACKSON,L,POLICE OFFICER
